"Site","Region","Farm","Acc.Rain.D","Avg.Acc.Rain.D"
"B1","Border",1,185.780075549534,197.034833717764
"B2","Border",2,188.335896968578,197.034833717764
"B3","Border",3,199.039627553407,197.034833717764
"B4","Border",4,216.97160530095,197.034833717764
"B5","Border",5,195.046963216353,197.034833717764
"D1","Dublin",1,177.287943840308,214.450538635493
"D2","Dublin",2,224.530735493088,214.450538635493
"D3","Dublin",3,222.173375607019,214.450538635493
"D4","Dublin",4,225.163606643712,214.450538635493
"D5","Dublin",5,223.097031593336,214.450538635493
"L1","Limerick",1,250.567164420965,208.521540737587
"L2","Limerick",2,208.654193879772,208.521540737587
"L3","Limerick",3,217.370493412843,208.521540737587
"L4","Limerick",4,140.165778636836,208.521540737587
"L5","Limerick",5,225.850073337518,208.521540737587
"C1","Cork",1,216.154336452734,215.099032878204
"C2","Cork",2,237.951861379492,215.099032878204
"C3","Cork",3,207.805730341574,215.099032878204
"C4","Cork",4,210.081005096635,215.099032878204
"C5","Cork",5,203.502231120585,215.099032878204
