"Latitude","Longitude","Rainfall","dataDate","dataTime","validityDate","validityTime","Site","Region","Farm","GDP"
54.394,-6.589,0.13161087036,2017-05-22,0,2017-05-23,900,"B1","Border",1,0.13161087036
54.394,-6.589,0.0030508041382,2017-05-23,0,2017-05-24,900,"B1","Border",1,0.1346616744982
54.394,-6.589,0.0012302398682,2017-05-24,0,2017-05-25,900,"B1","Border",1,0.1358919143664
54.394,-6.589,0.010454177856,2017-05-25,0,2017-05-26,900,"B1","Border",1,0.1463460922224
54.394,-6.589,0,2017-05-26,0,2017-05-27,900,"B1","Border",1,0.1463460922224
54.394,-6.589,10.951164246,2017-05-27,0,2017-05-28,900,"B1","Border",1,11.0975103382224
54.394,-6.589,0.55945587158,2017-05-28,0,2017-05-29,900,"B1","Border",1,11.6569662098024
54.394,-6.589,0.96280670166,2017-05-29,0,2017-05-30,900,"B1","Border",1,12.6197729114624
54.394,-6.589,0.33831214905,2017-05-30,0,2017-05-31,900,"B1","Border",1,12.9580850605124
54.394,-6.589,1.5983028412,2017-05-31,0,2017-06-01,900,"B1","Border",1,14.5563879017124
54.394,-6.589,7.0710296631,2017-06-01,0,2017-06-02,900,"B1","Border",1,21.6274175648124
54.394,-6.589,0.17783355713,2017-06-02,0,2017-06-03,900,"B1","Border",1,21.8052511219424
54.394,-6.589,3.522895813,2017-06-03,0,2017-06-04,900,"B1","Border",1,25.3281469349424
54.394,-6.589,7.9885253906,2017-06-04,0,2017-06-05,900,"B1","Border",1,33.3166723255424
54.394,-6.589,9.4396286011,2017-06-05,0,2017-06-06,900,"B1","Border",1,42.7563009266424
54.394,-6.589,2.2521438599,2017-06-06,0,2017-06-07,900,"B1","Border",1,45.0084447865424
54.394,-6.589,9.6067810059,2017-06-07,0,2017-06-08,900,"B1","Border",1,54.6152257924424
54.394,-6.589,12.191894531,2017-06-08,0,2017-06-09,900,"B1","Border",1,66.8071203234424
54.394,-6.589,4.8896179199,2017-06-09,0,2017-06-10,900,"B1","Border",1,71.6967382433424
