"Latitude","Longitude","Rainfall","dataDate","dataTime","validityDate","validityTime","Site","Region","Farm"
54.394,-6.589,1.8439102173,2017-04-01,0,2017-04-02,900,"B1","Border",1
54.394,-6.589,0,2017-04-02,0,2017-04-03,900,"B1","Border",1
54.394,-6.589,1.2810020447,2017-04-03,0,2017-04-04,900,"B1","Border",1
54.394,-6.589,0.00092697143555,2017-04-04,0,2017-04-05,900,"B1","Border",1
54.394,-6.589,0.049029350281,2017-04-05,0,2017-04-06,900,"B1","Border",1
54.394,-6.589,0.00010275840759,2017-04-06,0,2017-04-07,900,"B1","Border",1
54.394,-6.589,0.00056838989258,2017-04-07,0,2017-04-08,900,"B1","Border",1
54.394,-6.589,0.022411346436,2017-04-08,0,2017-04-09,900,"B1","Border",1
54.394,-6.589,0.13782691956,2017-04-09,0,2017-04-10,900,"B1","Border",1
54.394,-6.589,0,2017-04-10,0,2017-04-11,900,"B1","Border",1
54.394,-6.589,1.1181106567,2017-04-11,0,2017-04-12,900,"B1","Border",1
54.394,-6.589,0.47126579285,2017-04-12,0,2017-04-13,900,"B1","Border",1
54.394,-6.589,0.71737289429,2017-04-13,0,2017-04-14,900,"B1","Border",1
54.394,-6.589,1.2380332947,2017-04-14,0,2017-04-15,900,"B1","Border",1
54.394,-6.589,1.6841049194,2017-04-15,0,2017-04-16,900,"B1","Border",1
54.394,-6.589,4.7024364471,2017-04-16,0,2017-04-17,900,"B1","Border",1
54.394,-6.589,0.43083572388,2017-04-17,0,2017-04-18,900,"B1","Border",1
54.394,-6.589,0.011071205139,2017-04-18,0,2017-04-19,900,"B1","Border",1
54.394,-6.589,0.74264717102,2017-04-19,0,2017-04-20,900,"B1","Border",1
54.394,-6.589,0.099906921387,2017-04-20,0,2017-04-21,900,"B1","Border",1
54.394,-6.589,1.5063047409,2017-04-21,0,2017-04-22,900,"B1","Border",1
54.394,-6.589,0.0035591125488,2017-04-22,0,2017-04-23,900,"B1","Border",1
54.394,-6.589,0.7737827301,2017-04-23,0,2017-04-24,900,"B1","Border",1
54.394,-6.589,4.2925643921,2017-04-24,0,2017-04-25,900,"B1","Border",1
54.394,-6.589,0.18344497681,2017-04-25,0,2017-04-26,900,"B1","Border",1
54.394,-6.589,1.8056964874,2017-04-26,0,2017-04-27,900,"B1","Border",1
54.394,-6.589,1.6368942261,2017-04-27,0,2017-04-28,900,"B1","Border",1
54.394,-6.589,0.22287750244,2017-04-28,0,2017-04-29,900,"B1","Border",1
54.394,-6.589,3.3137741089,2017-04-29,0,2017-04-30,900,"B1","Border",1
54.394,-6.589,3.267616272,2017-04-30,0,2017-05-01,900,"B1","Border",1
54.239,-6.77999999999997,3.5140762329,2017-04-01,0,2017-04-02,900,"B2","Border",2
54.239,-6.77999999999997,0.00068855285645,2017-04-02,0,2017-04-03,900,"B2","Border",2
54.239,-6.77999999999997,3.0088253021,2017-04-03,0,2017-04-04,900,"B2","Border",2
54.239,-6.77999999999997,0.00030899047852,2017-04-04,0,2017-04-05,900,"B2","Border",2
54.239,-6.77999999999997,0.071788311005,2017-04-05,0,2017-04-06,900,"B2","Border",2
54.239,-6.77999999999997,0.00087261199951,2017-04-06,0,2017-04-07,900,"B2","Border",2
54.239,-6.77999999999997,0.0036888122559,2017-04-07,0,2017-04-08,900,"B2","Border",2
54.239,-6.77999999999997,0.037818908691,2017-04-08,0,2017-04-09,900,"B2","Border",2
54.239,-6.77999999999997,0.93707084656,2017-04-09,0,2017-04-10,900,"B2","Border",2
