"Latitude","Longitude","Rainfall","dataDate","dataTime","validityDate","validityTime","Site","Region","Farm"
54.394,-6.589,6.6567764282,2017-08-01,0,2017-08-02,900,"B1","Border",1
54.394,-6.589,21.631721497,2017-08-02,0,2017-08-03,900,"B1","Border",1
54.394,-6.589,1.912902832,2017-08-03,0,2017-08-04,900,"B1","Border",1
54.394,-6.589,3.9803276062,2017-08-04,0,2017-08-05,900,"B1","Border",1
54.394,-6.589,1.0168495178,2017-08-05,0,2017-08-06,900,"B1","Border",1
54.394,-6.589,2.6334152222,2017-08-06,0,2017-08-07,900,"B1","Border",1
54.394,-6.589,2.8755226135,2017-08-07,0,2017-08-08,900,"B1","Border",1
54.394,-6.589,0.29608154297,2017-08-08,0,2017-08-09,900,"B1","Border",1
54.394,-6.589,0.0015869140625,2017-08-09,0,2017-08-10,900,"B1","Border",1
54.394,-6.589,0.17144012451,2017-08-10,0,2017-08-11,900,"B1","Border",1
54.394,-6.589,1.2564506531,2017-08-11,0,2017-08-12,900,"B1","Border",1
54.394,-6.589,0.36160469055,2017-08-12,0,2017-08-13,900,"B1","Border",1
54.394,-6.589,5.1038665771,2017-08-13,0,2017-08-14,900,"B1","Border",1
54.394,-6.589,11.440273285,2017-08-14,0,2017-08-15,900,"B1","Border",1
54.394,-6.589,3.3905982971,2017-08-15,0,2017-08-16,900,"B1","Border",1
54.394,-6.589,6.0021057129,2017-08-16,0,2017-08-17,900,"B1","Border",1
54.394,-6.589,2.724609375,2017-08-17,0,2017-08-18,900,"B1","Border",1
54.394,-6.589,13.474945068,2017-08-18,0,2017-08-19,900,"B1","Border",1
54.394,-6.589,0.81530761719,2017-08-19,0,2017-08-20,900,"B1","Border",1
54.394,-6.589,5.5806045532,2017-08-20,0,2017-08-21,900,"B1","Border",1
54.394,-6.589,30.525360107,2017-08-21,0,2017-08-22,900,"B1","Border",1
54.394,-6.589,6.3417053223,2017-08-22,0,2017-08-23,900,"B1","Border",1
54.394,-6.589,2.4382133484,2017-08-23,0,2017-08-24,900,"B1","Border",1
54.394,-6.589,1.0581512451,2017-08-24,0,2017-08-25,900,"B1","Border",1
54.394,-6.589,8.8934745789,2017-08-25,0,2017-08-26,900,"B1","Border",1
54.394,-6.589,0.21601104736,2017-08-26,0,2017-08-27,900,"B1","Border",1
54.394,-6.589,0.066456794739,2017-08-27,0,2017-08-28,900,"B1","Border",1
54.394,-6.589,0.57166671753,2017-08-28,0,2017-08-29,900,"B1","Border",1
54.394,-6.589,2.5217781067,2017-08-29,0,2017-08-30,900,"B1","Border",1
54.394,-6.589,4.3539810181,2017-08-30,0,2017-08-31,900,"B1","Border",1
54.394,-6.589,9.6672973633,2017-08-31,0,2017-09-01,900,"B1","Border",1
54.239,-6.77999999999997,9.2484283447,2017-08-01,0,2017-08-02,900,"B2","Border",2
54.239,-6.77999999999997,18.920547485,2017-08-02,0,2017-08-03,900,"B2","Border",2
54.239,-6.77999999999997,2.6007232666,2017-08-03,0,2017-08-04,900,"B2","Border",2
54.239,-6.77999999999997,0.63520812988,2017-08-04,0,2017-08-05,900,"B2","Border",2
54.239,-6.77999999999997,1.8557319641,2017-08-05,0,2017-08-06,900,"B2","Border",2
54.239,-6.77999999999997,3.3847808838,2017-08-06,0,2017-08-07,900,"B2","Border",2
54.239,-6.77999999999997,5.9516334534,2017-08-07,0,2017-08-08,900,"B2","Border",2
54.239,-6.77999999999997,0.6164855957,2017-08-08,0,2017-08-09,900,"B2","Border",2
54.239,-6.77999999999997,0.0031814575195,2017-08-09,0,2017-08-10,900,"B2","Border",2
54.239,-6.77999999999997,0.11627960205,2017-08-10,0,2017-08-11,900,"B2","Border",2
54.239,-6.77999999999997,0.67633056641,2017-08-11,0,2017-08-12,900,"B2","Border",2
54.239,-6.77999999999997,0.57385063171,2017-08-12,0,2017-08-13,900,"B2","Border",2
54.239,-6.77999999999997,5.5555286407,2017-08-13,0,2017-08-14,900,"B2","Border",2
54.239,-6.77999999999997,15.488018036,2017-08-14,0,2017-08-15,900,"B2","Border",2
54.239,-6.77999999999997,0.99205780029,2017-08-15,0,2017-08-16,900,"B2","Border",2
54.239,-6.77999999999997,8.7420539856,2017-08-16,0,2017-08-17,900,"B2","Border",2
54.239,-6.77999999999997,7.3405532837,2017-08-17,0,2017-08-18,900,"B2","Border",2
54.239,-6.77999999999997,7.8145828247,2017-08-18,0,2017-08-19,900,"B2","Border",2
54.239,-6.77999999999997,4.3116836548,2017-08-19,0,2017-08-20,900,"B2","Border",2
54.239,-6.77999999999997,18.095542908,2017-08-20,0,2017-08-21,900,"B2","Border",2
54.239,-6.77999999999997,50.113059998,2017-08-21,0,2017-08-22,900,"B2","Border",2
54.239,-6.77999999999997,1.5823516846,2017-08-22,0,2017-08-23,900,"B2","Border",2
54.239,-6.77999999999997,5.0106124878,2017-08-23,0,2017-08-24,900,"B2","Border",2
54.239,-6.77999999999997,5.1032981873,2017-08-24,0,2017-08-25,900,"B2","Border",2
54.239,-6.77999999999997,9.6533660889,2017-08-25,0,2017-08-26,900,"B2","Border",2
54.239,-6.77999999999997,0.36094665527,2017-08-26,0,2017-08-27,900,"B2","Border",2
54.239,-6.77999999999997,0.085304260254,2017-08-27,0,2017-08-28,900,"B2","Border",2
54.239,-6.77999999999997,0.5681438446,2017-08-28,0,2017-08-29,900,"B2","Border",2
54.239,-6.77999999999997,1.1308708191,2017-08-29,0,2017-08-30,900,"B2","Border",2
54.239,-6.77999999999997,3.0682067871,2017-08-30,0,2017-08-31,900,"B2","Border",2
54.239,-6.77999999999997,0.37356567383,2017-08-31,0,2017-09-01,900,"B2","Border",2
54.268,-6.476,3.7141952515,2017-08-01,0,2017-08-02,900,"B3","Border",3
54.268,-6.476,15.178741455,2017-08-02,0,2017-08-03,900,"B3","Border",3
54.268,-6.476,2.5682525635,2017-08-03,0,2017-08-04,900,"B3","Border",3
54.268,-6.476,1.403793335,2017-08-04,0,2017-08-05,900,"B3","Border",3
54.268,-6.476,1.4998016357,2017-08-05,0,2017-08-06,900,"B3","Border",3
54.268,-6.476,2.841835022,2017-08-06,0,2017-08-07,900,"B3","Border",3
54.268,-6.476,6.6127815247,2017-08-07,0,2017-08-08,900,"B3","Border",3
54.268,-6.476,0.022094726562,2017-08-08,0,2017-08-09,900,"B3","Border",3
54.268,-6.476,0.004768371582,2017-08-09,0,2017-08-10,900,"B3","Border",3
54.268,-6.476,0.10137176514,2017-08-10,0,2017-08-11,900,"B3","Border",3
54.268,-6.476,0.58795928955,2017-08-11,0,2017-08-12,900,"B3","Border",3
54.268,-6.476,0.29897880554,2017-08-12,0,2017-08-13,900,"B3","Border",3
54.268,-6.476,3.5198764801,2017-08-13,0,2017-08-14,900,"B3","Border",3
54.268,-6.476,26.507030487,2017-08-14,0,2017-08-15,900,"B3","Border",3
54.268,-6.476,0.16471481323,2017-08-15,0,2017-08-16,900,"B3","Border",3
54.268,-6.476,10.31262207,2017-08-16,0,2017-08-17,900,"B3","Border",3
