"Latitude","Longitude","Rainfall","dataDate","dataTime","validityDate","validityTime","Site","Region","Farm"
54.394,-6.589,0.0569190979,2017-07-01,0,2017-07-02,900,"B1","Border",1
54.394,-6.589,0.40866088867,2017-07-02,0,2017-07-03,900,"B1","Border",1
54.394,-6.589,17.631538391,2017-07-03,0,2017-07-04,900,"B1","Border",1
54.394,-6.589,14.825614929,2017-07-04,0,2017-07-05,900,"B1","Border",1
54.394,-6.589,1.328168869,2017-07-05,0,2017-07-06,900,"B1","Border",1
54.394,-6.589,4.8974151611,2017-07-06,0,2017-07-07,900,"B1","Border",1
54.394,-6.589,0.46061706543,2017-07-07,0,2017-07-08,900,"B1","Border",1
54.394,-6.589,0.0023136138916,2017-07-08,0,2017-07-09,900,"B1","Border",1
54.394,-6.589,5.688419342,2017-07-09,0,2017-07-10,900,"B1","Border",1
54.394,-6.589,5.3605651855,2017-07-10,0,2017-07-11,900,"B1","Border",1
54.394,-6.589,1.8072357178,2017-07-11,0,2017-07-12,900,"B1","Border",1
54.394,-6.589,0,2017-07-12,0,2017-07-13,900,"B1","Border",1
54.394,-6.589,1.2247180939,2017-07-13,0,2017-07-14,900,"B1","Border",1
54.394,-6.589,4.8114814758,2017-07-14,0,2017-07-15,900,"B1","Border",1
54.394,-6.589,0.38738059998,2017-07-15,0,2017-07-16,900,"B1","Border",1
54.394,-6.589,0.1527557373,2017-07-16,0,2017-07-17,900,"B1","Border",1
54.394,-6.589,0,2017-07-17,0,2017-07-18,900,"B1","Border",1
54.394,-6.589,17.590621948,2017-07-18,0,2017-07-19,900,"B1","Border",1
54.394,-6.589,35.500244141,2017-07-19,0,2017-07-20,900,"B1","Border",1
54.394,-6.589,5.2062911987,2017-07-20,0,2017-07-21,900,"B1","Border",1
54.394,-6.589,7.4038467407,2017-07-21,0,2017-07-22,900,"B1","Border",1
54.394,-6.589,2.7838554382,2017-07-22,0,2017-07-23,900,"B1","Border",1
54.394,-6.589,0.10614013672,2017-07-23,0,2017-07-24,900,"B1","Border",1
54.394,-6.589,0.016681671143,2017-07-24,0,2017-07-25,900,"B1","Border",1
54.394,-6.589,13.388996124,2017-07-25,0,2017-07-26,900,"B1","Border",1
54.394,-6.589,15.79523468,2017-07-26,0,2017-07-27,900,"B1","Border",1
54.394,-6.589,8.1626091003,2017-07-27,0,2017-07-28,900,"B1","Border",1
54.394,-6.589,5.9336166382,2017-07-28,0,2017-07-29,900,"B1","Border",1
54.394,-6.589,0.70784759521,2017-07-29,0,2017-07-30,900,"B1","Border",1
54.394,-6.589,1.7179145813,2017-07-30,0,2017-07-31,900,"B1","Border",1
54.394,-6.589,1.9979782104,2017-07-31,0,2017-08-01,900,"B1","Border",1
54.239,-6.77999999999997,0.075943946838,2017-07-01,0,2017-07-02,900,"B2","Border",2
54.239,-6.77999999999997,0.46039390564,2017-07-02,0,2017-07-03,900,"B2","Border",2
54.239,-6.77999999999997,18.819797516,2017-07-03,0,2017-07-04,900,"B2","Border",2
54.239,-6.77999999999997,12.057220459,2017-07-04,0,2017-07-05,900,"B2","Border",2
54.239,-6.77999999999997,0.75903892517,2017-07-05,0,2017-07-06,900,"B2","Border",2
54.239,-6.77999999999997,3.2598876953,2017-07-06,0,2017-07-07,900,"B2","Border",2
54.239,-6.77999999999997,0.41124343872,2017-07-07,0,2017-07-08,900,"B2","Border",2
54.239,-6.77999999999997,0.0046272277832,2017-07-08,0,2017-07-09,900,"B2","Border",2
54.239,-6.77999999999997,3.767742157,2017-07-09,0,2017-07-10,900,"B2","Border",2
54.239,-6.77999999999997,3.7022323608,2017-07-10,0,2017-07-11,900,"B2","Border",2
54.239,-6.77999999999997,1.2878265381,2017-07-11,0,2017-07-12,900,"B2","Border",2
54.239,-6.77999999999997,0,2017-07-12,0,2017-07-13,900,"B2","Border",2
54.239,-6.77999999999997,1.4607276917,2017-07-13,0,2017-07-14,900,"B2","Border",2
54.239,-6.77999999999997,2.4585380554,2017-07-14,0,2017-07-15,900,"B2","Border",2
54.239,-6.77999999999997,0.31196403503,2017-07-15,0,2017-07-16,900,"B2","Border",2
54.239,-6.77999999999997,0.033479690552,2017-07-16,0,2017-07-17,900,"B2","Border",2
54.239,-6.77999999999997,0,2017-07-17,0,2017-07-18,900,"B2","Border",2
54.239,-6.77999999999997,17.445388794,2017-07-18,0,2017-07-19,900,"B2","Border",2
54.239,-6.77999999999997,35.328033447,2017-07-19,0,2017-07-20,900,"B2","Border",2
54.239,-6.77999999999997,3.7044372559,2017-07-20,0,2017-07-21,900,"B2","Border",2
54.239,-6.77999999999997,6.2210006714,2017-07-21,0,2017-07-22,900,"B2","Border",2
54.239,-6.77999999999997,5.5203666687,2017-07-22,0,2017-07-23,900,"B2","Border",2
54.239,-6.77999999999997,0.20624160767,2017-07-23,0,2017-07-24,900,"B2","Border",2
54.239,-6.77999999999997,0.0083389282227,2017-07-24,0,2017-07-25,900,"B2","Border",2
54.239,-6.77999999999997,12.337070465,2017-07-25,0,2017-07-26,900,"B2","Border",2
54.239,-6.77999999999997,15.744445801,2017-07-26,0,2017-07-27,900,"B2","Border",2
54.239,-6.77999999999997,4.2529296875,2017-07-27,0,2017-07-28,900,"B2","Border",2
54.239,-6.77999999999997,3.4830970764,2017-07-28,0,2017-07-29,900,"B2","Border",2
54.239,-6.77999999999997,0.90729522705,2017-07-29,0,2017-07-30,900,"B2","Border",2
54.239,-6.77999999999997,3.233417511,2017-07-30,0,2017-07-31,900,"B2","Border",2
54.239,-6.77999999999997,6.6830673218,2017-07-31,0,2017-08-01,900,"B2","Border",2
54.268,-6.476,0.030408859253,2017-07-01,0,2017-07-02,900,"B3","Border",3
54.268,-6.476,0.74433135986,2017-07-02,0,2017-07-03,900,"B3","Border",3
54.268,-6.476,20.553180695,2017-07-03,0,2017-07-04,900,"B3","Border",3
54.268,-6.476,11.853458405,2017-07-04,0,2017-07-05,900,"B3","Border",3
54.268,-6.476,2.0518074036,2017-07-05,0,2017-07-06,900,"B3","Border",3
54.268,-6.476,2.6801452637,2017-07-06,0,2017-07-07,900,"B3","Border",3
54.268,-6.476,0.34103965759,2017-07-07,0,2017-07-08,900,"B3","Border",3
54.268,-6.476,0,2017-07-08,0,2017-07-09,900,"B3","Border",3
