"Latitude","Longitude","Rainfall","dataDate","dataTime","validityDate","validityTime","Site","Region","Farm"
54.394,-6.589,7.0710296631,2017-06-01,0,2017-06-02,900,"B1","Border",1
54.394,-6.589,0.17783355713,2017-06-02,0,2017-06-03,900,"B1","Border",1
54.394,-6.589,3.522895813,2017-06-03,0,2017-06-04,900,"B1","Border",1
54.394,-6.589,7.9885253906,2017-06-04,0,2017-06-05,900,"B1","Border",1
54.394,-6.589,9.4396286011,2017-06-05,0,2017-06-06,900,"B1","Border",1
54.394,-6.589,2.2521438599,2017-06-06,0,2017-06-07,900,"B1","Border",1
54.394,-6.589,9.6067810059,2017-06-07,0,2017-06-08,900,"B1","Border",1
54.394,-6.589,12.191894531,2017-06-08,0,2017-06-09,900,"B1","Border",1
54.394,-6.589,4.8896179199,2017-06-09,0,2017-06-10,900,"B1","Border",1
54.394,-6.589,7.2602996826,2017-06-10,0,2017-06-11,900,"B1","Border",1
54.394,-6.589,4.5186576843,2017-06-11,0,2017-06-12,900,"B1","Border",1
54.394,-6.589,1.026184082,2017-06-12,0,2017-06-13,900,"B1","Border",1
54.394,-6.589,0.47435760498,2017-06-13,0,2017-06-14,900,"B1","Border",1
54.394,-6.589,0.29481124878,2017-06-14,0,2017-06-15,900,"B1","Border",1
54.394,-6.589,4.9547805786,2017-06-15,0,2017-06-16,900,"B1","Border",1
54.394,-6.589,0.012610435486,2017-06-16,0,2017-06-17,900,"B1","Border",1
54.394,-6.589,0.0073056221008,2017-06-17,0,2017-06-18,900,"B1","Border",1
54.394,-6.589,0,2017-06-18,0,2017-06-19,900,"B1","Border",1
54.394,-6.589,0.031009674072,2017-06-19,0,2017-06-20,900,"B1","Border",1
54.394,-6.589,0,2017-06-20,0,2017-06-21,900,"B1","Border",1
54.394,-6.589,1.9583206177,2017-06-21,0,2017-06-22,900,"B1","Border",1
54.394,-6.589,1.254901886,2017-06-22,0,2017-06-23,900,"B1","Border",1
54.394,-6.589,0.52948570251,2017-06-23,0,2017-06-24,900,"B1","Border",1
54.394,-6.589,0.17653656006,2017-06-24,0,2017-06-25,900,"B1","Border",1
