"Region","Farm","site_ID","treatment","Plot","day","ent","pod","sym","neel","orb_a","orb_j","meso_a","meso_j","prostig","astig","ot_mites","c_lav","dip_lar","hymen","pot","prot","symph","arach","chil","coleop","gast","wood","hemip","cater","dip","thy","earth","Total.Soil","Total.All","BC_meanC_all","BC_meanC_soil","community_all","community_soil"
"Border",1,"Border1","Control","C1",0,4,6,5,0,2,0,3,1,2,0,6,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,29,34,0.386018237082067,0.368821292775665,"Border1.C1.0","Border1.C1.0"
"Border",1,"Border1","Control","C2",0,1,0,1,0,3,1,3,0,0,1,12,0,0,0,3,0,0,1,0,0,0,0,0,0,0,3,1,22,30,0.34185303514377,0.370212765957447,"Border1.C2.0","Border1.C2.0"
"Border",1,"Border1","Control","C3",0,10,0,1,0,0,0,2,1,4,0,53,1,0,1,10,0,0,0,0,0,0,0,0,0,0,9,0,71,92,0.42602495543672,0.438515081206497,"Border1.C3.0","Border1.C3.0"
"Border",1,"Border1","Control","C4",0,4,1,2,0,1,0,1,6,5,1,4,0,1,3,5,0,0,0,0,0,0,0,0,0,0,1,2,25,37,0.378299120234604,0.408906882591093,"Border1.C4.0","Border1.C4.0"
"Border",1,"Border1","Drought","D1",0,1,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,7,0.755656108597285,0.730994152046784,"Border1.D1.0","Border1.D1.0"
"Border",1,"Border1","Drought","D2",0,1,0,0,0,4,0,4,0,2,4,4,0,9,1,0,0,0,0,0,0,0,0,0,0,0,2,0,19,31,0.634069400630915,0.596412556053812,"Border1.D2.0","Border1.D2.0"
"Border",1,"Border1","Drought","D3",0,0,0,0,0,0,0,4,2,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,15,21,0.602888086642599,0.594202898550725,"Border1.D3.0","Border1.D3.0"
"Border",1,"Border1","Drought","D4",0,2,1,0,0,2,1,1,0,2,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,22,28,0.488524590163934,0.446808510638298,"Border1.D4.0","Border1.D4.0"
"Border",1,"Border1","Control","C1",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Border1.C1.32","Border1.C1.32"
"Border",1,"Border1","Control","C2",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Border1.C2.32","Border1.C2.32"
