loc,site,treat,rep,day ,lat,long,utm_north,utm_east,moisture,soil_ph,soil_om,ent,pod,sym,neel,orb_a,orb_j,meso_a,meso_j,prostig,astig,ot_mites,c_lav,dip_lar,hymen,pot,prot,symph,arach,chil,coleop,gast,wood,hemip,cater,dip,thy,earth
bo,1,c,1,0,54.39917,-6.609722,6030567.28,655164.39,57.74,5.29,15.91,4,6,5,0,2,0,3,1,2,0,6,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1
bo,1,c,2,0,54.39917,-6.609722,6030568.78,655166.39,54.93,5.34,15.16,1,0,1,0,3,1,3,0,0,1,12,0,0,0,3,0,0,1,0,0,0,0,0,0,0,3,1
bo,1,c,3,0,54.39917,-6.609722,6030570.28,655166.39,47.5,5.69,14.09,10,0,1,0,0,0,2,1,4,0,53,1,0,1,10,0,0,0,0,0,0,0,0,0,0,9,0
bo,1,c,4,0,54.39917,-6.609722,6030571.78,655164.39,NA,5.43,14.6,4,1,2,0,1,0,1,6,5,1,4,0,1,3,5,0,0,0,0,0,0,0,0,0,0,1,2
bo,2,c,1,0,54.23111,-6.794444,6011481.1,643760,NA,5.73,21.51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bo,2,c,2,0,54.23111,-6.794444,6011482.6,643762,NA,5.92,22.82,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
bo,2,c,3,0,54.23111,-6.794444,6011484.1,643762,NA,5.95,19.16,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bo,2,c,4,0,54.23111,-6.794444,6011485.6,643760,NA,5.77,27.09,0,3,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bo,3,c,1,0,54.26472,-6.491666,6015878.55,663358.67,30.18,5.83,13.52,11,3,8,0,6,0,5,3,4,0,6,2,0,0,5,0,0,0,0,1,0,0,1,0,0,0,0
bo,3,c,2,0,54.26472,-6.491666,6015880.05,663360.67,44.1,5.88,14.2,12,4,2,0,0,0,2,6,2,0,1,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0,2
bo,3,c,3,0,54.26472,-6.491666,6015881.55,663360.67,43.44,5.99,13.57,67,12,5,0,1,1,13,7,4,0,6,1,0,2,3,0,0,0,0,1,0,0,10,0,0,2,1
bo,3,c,4,0,54.26472,-6.491666,6015883.05,663358.67,NA,5.91,14.82,29,9,1,0,0,1,6,12,6,0,5,1,33,0,2,0,0,0,0,1,0,0,14,0,0,0,2
bo,4,c,1,0,54.19444,-6.488611,6008068.31,663835.78,NA,6.05,32.22,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bo,4,c,2,0,54.19444,-6.488611,6008069.81,663837.78,NA,6.01,31.61,27,1,0,0,0,0,0,5,1,1,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,0
bo,4,c,3,0,54.19444,-6.488611,6008071.31,663837.78,NA,6.1,33.33,18,0,0,0,1,1,5,8,0,1,8,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0
bo,4,c,4,0,54.19444,-6.488611,6008072.81,663835.78,NA,6.14,26.6,17,2,0,0,2,0,6,5,0,0,12,0,1,1,1,0,0,1,0,0,0,0,2,0,0,0,2
bo,5,c,1,0,54.15833,-7.004722,6002977.03,630284.5,42.11,5.48,17.2,43,2,12,0,1,1,4,9,1,0,11,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0
bo,5,c,2,0,54.15833,-7.004722,6002978.53,630286.5,52.7,5.57,19.29,12,3,20,0,1,5,4,2,1,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1
bo,5,c,3,0,54.15833,-7.004722,6002980.03,630286.5,52.43,5.7,13.35,39,3,22,0,0,2,5,15,3,0,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1
bo,5,c,4,0,54.15833,-7.004722,6002981.53,630284.5,NA,5.82,17.03,60,9,20,0,1,0,2,16,3,0,13,1,0,3,0,0,0,0,0,0,0,0,1,0,0,4,0
co,1,c,1,0,51.76111,-8.460833,5734606.25,537210.68,35.18,5.95,9.16,8,1,21,0,1,1,11,37,59,29,17,0,2,0,1,0,0,1,0,0,0,0,323,0,0,0,0
co,1,c,2,0,51.76111,-8.460833,5734607.75,537212.68,47.73,5.93,7.69,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
