"Region","Farm","site_ID","treatment","Plot","day","inverts_BC_all","acc_rain"
"Border","1","Border1","Control","C1",0,0.386018237082067,185.780075549534
"Border","1","Border1","Control","C2",0,0.34185303514377,185.780075549534
"Border","1","Border1","Control","C3",0,0.42602495543672,185.780075549534
"Border","1","Border1","Control","C4",0,0.378299120234604,185.780075549534
"Border","1","Border1","Drought","D1",0,0.755656108597285,0
"Border","1","Border1","Drought","D2",0,0.634069400630915,0
"Border","1","Border1","Drought","D3",0,0.602888086642599,0
"Border","1","Border1","Drought","D4",0,0.488524590163934,0
"Border","1","Border1","Control","C1",64,0.272727272727273,185.780075549534
"Border","1","Border1","Control","C2",64,0.36,185.780075549534
"Border","1","Border1","Control","C3",64,0.424657534246575,185.780075549534
"Border","1","Border1","Control","C4",64,0.581818181818182,185.780075549534
"Border","1","Border1","Drought","D1",64,0.578947368421053,0
"Border","1","Border1","Drought","D2",64,0.4,0
"Border","1","Border1","Drought","D3",64,0.651685393258427,0
"Border","1","Border1","Drought","D4",64,0.602150537634409,0
"Border","2","Border2","Control","C1",0,0.555555555555556,188.335896968578
"Border","2","Border2","Control","C2",0,0.4,188.335896968578
"Border","2","Border2","Control","C3",0,0.727272727272727,188.335896968578
"Border","2","Border2","Control","C4",0,0.380952380952381,188.335896968578
"Border","2","Border2","Drought","D1",0,0.736842105263158,0
"Border","2","Border2","Drought","D2",0,0.384615384615385,0
"Border","2","Border2","Drought","D3",0,0.272727272727273,0
"Border","2","Border2","Drought","D4",0,0.705882352941177,0
"Border","2","Border2","Control","C1",32,0.134042553191489,188.335896968578
"Border","2","Border2","Control","C2",32,0.395408163265306,188.335896968578
"Border","2","Border2","Control","C3",32,0.228110599078341,188.335896968578
"Border","2","Border2","Control","C4",32,0.276315789473684,188.335896968578
"Border","2","Border2","Drought","D1",32,0.505952380952381,0
"Border","2","Border2","Drought","D2",32,0.375,0
"Border","2","Border2","Drought","D4",32,0.246753246753247,0
"Border","2","Border2","Control","C1",64,0.443298969072165,188.335896968578
"Border","2","Border2","Control","C2",64,0.323308270676692,188.335896968578
"Border","2","Border2","Control","C3",64,0.392,188.335896968578
"Border","2","Border2","Control","C4",64,0.504950495049505,188.335896968578
"Border","2","Border2","Drought","D1",64,0.797101449275362,0
"Border","2","Border2","Drought","D2",64,0.641791044776119,0
"Border","2","Border2","Drought","D3",64,0.503184713375796,0
"Border","2","Border2","Drought","D4",64,0.454545454545455,0
"Border","3","Border3","Control","C1",0,0.398601398601399,199.039627553407
"Border","3","Border3","Control","C2",0,0.433070866141732,199.039627553407
"Border","3","Border3","Control","C3",0,0.305803571428571,199.039627553407
"Border","3","Border3","Control","C4",0,0.25,199.039627553407
"Border","3","Border3","Drought","D1",0,0.721818181818182,0
"Border","3","Border3","Drought","D2",0,0.703488372093023,0
"Border","3","Border3","Drought","D3",0,0.606060606060606,0
"Border","3","Border3","Drought","D4",0,0.678899082568807,0
"Border","3","Border3","Control","C1",32,0.319760479041916,199.039627553407
"Border","3","Border3","Control","C2",32,0.221099887766554,199.039627553407
"Border","3","Border3","Control","C3",32,0.220193340494092,199.039627553407
"Border","3","Border3","Control","C4",32,0.423137876386688,199.039627553407
"Border","3","Border3","Drought","D2",32,0.499599037690457,0
"Border","3","Border3","Drought","D3",32,0.58933064921993,0
"Border","3","Border3","Control","C1",64,0.361702127659574,199.039627553407
"Border","3","Border3","Control","C2",64,0.315175097276265,199.039627553407
"Border","3","Border3","Control","C3",64,0.324937027707809,199.039627553407
"Border","3","Border3","Control","C4",64,0.327913279132791,199.039627553407
"Border","3","Border3","Drought","D1",64,0.380145278450363,0
"Border","3","Border3","Drought","D2",64,0.326599326599327,0
"Border","3","Border3","Drought","D3",64,0.390428211586902,0
"Border","3","Border3","Drought","D4",64,0.313672922252011,0
"Border","4","Border4","Control","C1",0,0.880434782608696,216.97160530095
"Border","4","Border4","Control","C2",0,0.378048780487805,216.97160530095
"Border","4","Border4","Control","C3",0,0.22093023255814,216.97160530095
"Border","4","Border4","Control","C4",0,0.244444444444444,216.97160530095
"Border","4","Border4","Drought","D1",0,0.508620689655172,0
"Border","4","Border4","Drought","D2",0,0.19047619047619,0
"Border","4","Border4","Drought","D3",0,0.429487179487179,0
"Border","4","Border4","Drought","D4",0,1,0
"Border","4","Border4","Control","C1",32,0.235467980295567,216.97160530095
"Border","4","Border4","Control","C2",32,0.269582909460834,216.97160530095
"Border","4","Border4","Control","C3",32,0.195530726256983,216.97160530095
"Border","4","Border4","Control","C4",32,0.283697047496791,216.97160530095
