"Region","Farm","treatment","CODE","timestep","day","site_ID","DRY.WEIGHT.NON.RM","control_mean","metric","plot_meanC_ratio","acc_rain"
"Border","1","Drought","D1","0",0,"Border1",7.765,11.02,"DRY WEIGHT NON RM",0.704627949183303,0
"Border","1","Drought","D2","0",0,"Border1",4.335,11.02,"DRY WEIGHT NON RM",0.393375680580762,0
"Border","1","Drought","D3","0",0,"Border1",9.525,11.02,"DRY WEIGHT NON RM",0.864337568058076,0
"Border","1","Drought","D4","0",0,"Border1",1.995,11.02,"DRY WEIGHT NON RM",0.181034482758621,0
"Border","1","Control","C1","0",0,"Border1",10.465,11.02,"DRY WEIGHT NON RM",0.949637023593466,185.780075549534
"Border","1","Control","C2","0",0,"Border1",13.805,11.02,"DRY WEIGHT NON RM",1.252722323049,185.780075549534
"Border","1","Control","C3","0",0,"Border1",9.605,11.02,"DRY WEIGHT NON RM",0.871597096188748,185.780075549534
"Border","1","Control","C4","0",0,"Border1",10.205,11.02,"DRY WEIGHT NON RM",0.926043557168784,185.780075549534
"Border","2","Drought","D1","0",0,"Border2",9.995,7.9675,"DRY WEIGHT NON RM",1.25447128961406,0
"Border","2","Drought","D2","0",0,"Border2",5.955,7.9675,"DRY WEIGHT NON RM",0.747411358644493,0
"Border","2","Drought","D3","0",0,"Border2",7.615,7.9675,"DRY WEIGHT NON RM",0.955757765924066,0
"Border","2","Drought","D4","0",0,"Border2",8.495,7.9675,"DRY WEIGHT NON RM",1.06620646375902,0
"Border","2","Control","C1","0",0,"Border2",6.695,7.9675,"DRY WEIGHT NON RM",0.840288672732978,188.335896968578
"Border","2","Control","C2","0",0,"Border2",8.725,7.9675,"DRY WEIGHT NON RM",1.09507373705679,188.335896968578
"Border","2","Control","C3","0",0,"Border2",6.075,7.9675,"DRY WEIGHT NON RM",0.762472544712896,188.335896968578
"Border","2","Control","C4","0",0,"Border2",10.375,7.9675,"DRY WEIGHT NON RM",1.30216504549733,188.335896968578
"Border","3","Drought","D1","0",0,"Border3",7.135,6.5875,"DRY WEIGHT NON RM",1.0831119544592,0
"Border","3","Drought","D2","0",0,"Border3",5.475,6.5875,"DRY WEIGHT NON RM",0.83111954459203,0
"Border","3","Drought","D3","0",0,"Border3",4.335,6.5875,"DRY WEIGHT NON RM",0.658064516129032,0
"Border","3","Drought","D4","0",0,"Border3",5.625,6.5875,"DRY WEIGHT NON RM",0.853889943074004,0
"Border","3","Control","C1","0",0,"Border3",7.675,6.5875,"DRY WEIGHT NON RM",1.16508538899431,199.039627553407
"Border","3","Control","C2","0",0,"Border3",5.515,6.5875,"DRY WEIGHT NON RM",0.83719165085389,199.039627553407
"Border","3","Control","C3","0",0,"Border3",5.805,6.5875,"DRY WEIGHT NON RM",0.881214421252372,199.039627553407
"Border","3","Control","C4","0",0,"Border3",7.355,6.5875,"DRY WEIGHT NON RM",1.11650853889943,199.039627553407
"Border","4","Drought","D1","0",0,"Border4",6.195,8.5725,"DRY WEIGHT NON RM",0.722659667541557,0
"Border","4","Drought","D2","0",0,"Border4",5.555,8.5725,"DRY WEIGHT NON RM",0.648002333041703,0
"Border","4","Drought","D3","0",0,"Border4",5.795,8.5725,"DRY WEIGHT NON RM",0.675998833479148,0
"Border","4","Drought","D4","0",0,"Border4",5.615,8.5725,"DRY WEIGHT NON RM",0.655001458151064,0
"Border","4","Control","C1","0",0,"Border4",11.695,8.5725,"DRY WEIGHT NON RM",1.36424613589968,216.97160530095
"Border","4","Control","C2","0",0,"Border4",7.175,8.5725,"DRY WEIGHT NON RM",0.836978710994459,216.97160530095
"Border","4","Control","C3","0",0,"Border4",7.815,8.5725,"DRY WEIGHT NON RM",0.911636045494313,216.97160530095
"Border","4","Control","C4","0",0,"Border4",7.605,8.5725,"DRY WEIGHT NON RM",0.887139107611549,216.97160530095
"Border","5","Drought","D1","0",0,"Border5",2.245,9.8925,"DRY WEIGHT NON RM",0.226939600707607,0
"Border","5","Drought","D2","0",0,"Border5",6.225,9.8925,"DRY WEIGHT NON RM",0.629264594389689,0
"Border","5","Drought","D3","0",0,"Border5",3.905,9.8925,"DRY WEIGHT NON RM",0.394743492544857,0
"Border","5","Drought","D4","0",0,"Border5",4.785,9.8925,"DRY WEIGHT NON RM",0.483699772554966,0
"Border","5","Control","C1","0",0,"Border5",10.265,9.8925,"DRY WEIGHT NON RM",1.03765478898155,195.046963216353
"Border","5","Control","C2","0",0,"Border5",10.745,9.8925,"DRY WEIGHT NON RM",1.08617639625979,195.046963216353
"Border","5","Control","C3","0",0,"Border5",10.005,9.8925,"DRY WEIGHT NON RM",1.01137225170584,195.046963216353
"Border","5","Control","C4","0",0,"Border5",8.555,9.8925,"DRY WEIGHT NON RM",0.864796563052818,195.046963216353
"Dublin","1","Drought","D1","0",0,"Dublin1",5.125,13.24,"DRY WEIGHT NON RM",0.387084592145015,0
"Dublin","1","Drought","D2","0",0,"Dublin1",5.355,13.24,"DRY WEIGHT NON RM",0.404456193353474,0
"Dublin","1","Drought","D3","0",0,"Dublin1",9.485,13.24,"DRY WEIGHT NON RM",0.716389728096677,0
"Dublin","1","Drought","D4","0",0,"Dublin1",3.355,13.24,"DRY WEIGHT NON RM",0.253398791540785,0
"Dublin","1","Control","C1","0",0,"Dublin1",8.675,13.24,"DRY WEIGHT NON RM",0.655211480362538,177.287943840308
"Dublin","1","Control","C2","0",0,"Dublin1",19.405,13.24,"DRY WEIGHT NON RM",1.46563444108761,177.287943840308
"Dublin","1","Control","C3","0",0,"Dublin1",14.245,13.24,"DRY WEIGHT NON RM",1.07590634441088,177.287943840308
"Dublin","1","Control","C4","0",0,"Dublin1",10.635,13.24,"DRY WEIGHT NON RM",0.803247734138973,177.287943840308
"Dublin","2","Drought","D1","0",0,"Dublin2",8.445,9.5725,"DRY WEIGHT NON RM",0.882214677461478,0
"Dublin","2","Drought","D2","0",0,"Dublin2",5.405,9.5725,"DRY WEIGHT NON RM",0.564638286758945,0
"Dublin","2","Drought","D3","0",0,"Dublin2",4.545,9.5725,"DRY WEIGHT NON RM",0.474797597283886,0
"Dublin","2","Drought","D4","0",0,"Dublin2",7.205,9.5725,"DRY WEIGHT NON RM",0.752676939148603,0
"Dublin","2","Control","C1","0",0,"Dublin2",7.795,9.5725,"DRY WEIGHT NON RM",0.814311830765213,224.530735493088
"Dublin","2","Control","C2","0",0,"Dublin2",9.375,9.5725,"DRY WEIGHT NON RM",0.979367981196135,224.530735493088
"Dublin","2","Control","C3","0",0,"Dublin2",10.985,9.5725,"DRY WEIGHT NON RM",1.14755810916688,224.530735493088
"Dublin","2","Control","C4","0",0,"Dublin2",10.135,9.5725,"DRY WEIGHT NON RM",1.05876207887177,224.530735493088
"Dublin","3","Drought","D1","0",0,"Dublin3",9.705,13.0275,"DRY WEIGHT NON RM",0.74496257915947,0
"Dublin","3","Drought","D2","0",0,"Dublin3",7.355,13.0275,"DRY WEIGHT NON RM",0.564574937631932,0
"Dublin","3","Drought","D3","0",0,"Dublin3",5.995,13.0275,"DRY WEIGHT NON RM",0.460180387641528,0
"Dublin","3","Drought","D4","0",0,"Dublin3",6.605,13.0275,"DRY WEIGHT NON RM",0.507004413740165,0
"Dublin","3","Control","C1","0",0,"Dublin3",12.905,13.0275,"DRY WEIGHT NON RM",0.990596814431011,222.173375607019
"Dublin","3","Control","C2","0",0,"Dublin3",13.365,13.0275,"DRY WEIGHT NON RM",1.0259067357513,222.173375607019
"Dublin","3","Control","C3","0",0,"Dublin3",11.515,13.0275,"DRY WEIGHT NON RM",0.883899443484936,222.173375607019
"Dublin","3","Control","C4","0",0,"Dublin3",14.325,13.0275,"DRY WEIGHT NON RM",1.09959700633276,222.173375607019
"Dublin","4","Drought","D1","0",0,"Dublin4",5.694,10.15175,"DRY WEIGHT NON RM",0.560888516758194,0
