"site","out","temp","plot","date.time"
"C2",90017,31.7,"C1",2017-07-15 17:00:00
"C2",90018,30.6,"C1",2017-07-15 18:00:00
"C2",90044,33.5,"C1",2017-07-16 20:00:00
"C2",90045,36.9,"C1",2017-07-16 21:00:00
"C2",90051,40.5,"C1",2017-07-17 03:00:00
"C2",90054,36.6,"C1",2017-07-17 06:00:00
"C2",91166,30.4,"C1",2017-09-01 14:00:00
"C2",95951,NA,"C2",2017-05-17 23:00:00
"C2",95952,NA,"C2",2017-05-18 00:00:00
"C2",95953,NA,"C2",2017-05-18 01:00:00
"C2",95954,NA,"C2",2017-05-18 02:00:00
"C2",95955,NA,"C2",2017-05-18 03:00:00
"C2",95956,NA,"C2",2017-05-18 04:00:00
"C2",95957,NA,"C2",2017-05-18 05:00:00
"C2",95958,NA,"C2",2017-05-18 06:00:00
"C2",95959,NA,"C2",2017-05-18 07:00:00
"C2",95960,NA,"C2",2017-05-18 08:00:00
"C2",95961,NA,"C2",2017-05-18 09:00:00
"C2",95962,7.2,"C2",2017-05-18 10:00:00
"C2",95963,7.2,"C2",2017-05-18 11:00:00
"C2",95964,6.9,"C2",2017-05-18 12:00:00
"C2",95965,10.6,"C2",2017-05-18 13:00:00
"C2",95966,9.4,"C2",2017-05-18 14:00:00
"C2",95967,9.9,"C2",2017-05-18 15:00:00
"C2",95968,13.2,"C2",2017-05-18 16:00:00
"C2",95969,4,"C2",2017-05-18 17:00:00
"C2",95970,NA,"C2",2017-05-18 18:00:00
"C2",95971,NA,"C2",2017-05-18 19:00:00
"C2",95972,NA,"C2",2017-05-18 20:00:00
"C2",95973,1.1,"C2",2017-05-18 21:00:00
"C2",95974,-1.1,"C2",2017-05-18 22:00:00
"C2",95975,-1.9,"C2",2017-05-18 23:00:00
"C2",95976,-2.1,"C2",2017-05-19 00:00:00
"C2",95977,-2.6,"C2",2017-05-19 01:00:00
"C2",95978,-3.2,"C2",2017-05-19 02:00:00
"C2",95979,-3.2,"C2",2017-05-19 03:00:00
"C2",95980,-3.3,"C2",2017-05-19 04:00:00
"C2",95981,-3.1,"C2",2017-05-19 05:00:00
"C2",95982,-2.8,"C2",2017-05-19 06:00:00
"C2",95983,0,"C2",2017-05-19 07:00:00
"C2",95984,2.2,"C2",2017-05-19 08:00:00
"C2",95985,3.6,"C2",2017-05-19 09:00:00
"C2",95986,6.9,"C2",2017-05-19 10:00:00
"C2",95987,8.9,"C2",2017-05-19 11:00:00
"C2",95988,NA,"C2",2017-05-19 12:00:00
"C2",95989,7.7,"C2",2017-05-19 13:00:00
"C2",95990,7.8,"C2",2017-05-19 14:00:00
"C2",95991,NA,"C2",2017-05-19 15:00:00
"C2",95992,4.9,"C2",2017-05-19 16:00:00
"C2",95993,6.2,"C2",2017-05-19 17:00:00
"C2",95994,6.4,"C2",2017-05-19 18:00:00
"C2",95995,5.4,"C2",2017-05-19 19:00:00
"C2",95996,3.5,"C2",2017-05-19 20:00:00
"C2",95997,4.3,"C2",2017-05-19 21:00:00
"C2",95998,3.2,"C2",2017-05-19 22:00:00
"C2",95999,1,"C2",2017-05-19 23:00:00
"C2",96000,2.6,"C2",2017-05-20 00:00:00
"C2",96001,2.1,"C2",2017-05-20 01:00:00
"C2",96002,2.3,"C2",2017-05-20 02:00:00
"C2",96003,2.6,"C2",2017-05-20 03:00:00
"C2",96004,2.3,"C2",2017-05-20 04:00:00
"C2",96005,1.8,"C2",2017-05-20 05:00:00
"C2",96006,3.2,"C2",2017-05-20 06:00:00
"C2",96007,3.2,"C2",2017-05-20 07:00:00
"C2",96008,4.4,"C2",2017-05-20 08:00:00
"C2",96009,7.1,"C2",2017-05-20 09:00:00
"C2",96010,7.4,"C2",2017-05-20 10:00:00
"C2",96011,5.9,"C2",2017-05-20 11:00:00
"C2",96012,10.7,"C2",2017-05-20 12:00:00
"C2",96013,6.5,"C2",2017-05-20 13:00:00
"C2",96014,9.8,"C2",2017-05-20 14:00:00
"C2",96015,7.5,"C2",2017-05-20 15:00:00
"C2",96016,6.8,"C2",2017-05-20 16:00:00
"C2",96017,8.1,"C2",2017-05-20 17:00:00
"C2",96018,6.7,"C2",2017-05-20 18:00:00
"C2",96019,4.7,"C2",2017-05-20 19:00:00
"C2",96020,3.5,"C2",2017-05-20 20:00:00
"C2",96021,1.3,"C2",2017-05-20 21:00:00
"C2",96022,1.5,"C2",2017-05-20 22:00:00
"C2",96023,1.8,"C2",2017-05-20 23:00:00
"C2",96024,1.9,"C2",2017-05-21 00:00:00
"C2",96025,2.1,"C2",2017-05-21 01:00:00
"C2",96026,2.6,"C2",2017-05-21 02:00:00
"C2",96027,2.7,"C2",2017-05-21 03:00:00
"C2",96028,2.7,"C2",2017-05-21 04:00:00
"C2",96029,2.9,"C2",2017-05-21 05:00:00
"C2",96030,3.2,"C2",2017-05-21 06:00:00
"C2",96031,3.6,"C2",2017-05-21 07:00:00
"C2",96032,4,"C2",2017-05-21 08:00:00
"C2",96033,4.6,"C2",2017-05-21 09:00:00
"C2",96034,5.2,"C2",2017-05-21 10:00:00
"C2",96035,6.4,"C2",2017-05-21 11:00:00
"C2",96036,7.4,"C2",2017-05-21 12:00:00
"C2",96037,7.5,"C2",2017-05-21 13:00:00
"C2",96038,8.1,"C2",2017-05-21 14:00:00
"C2",96039,4,"C2",2017-05-21 15:00:00
"C2",96040,5.8,"C2",2017-05-21 16:00:00
"C2",96041,4.7,"C2",2017-05-21 17:00:00
"C2",96042,3.7,"C2",2017-05-21 18:00:00
"C2",96043,3.4,"C2",2017-05-21 19:00:00
"C2",96044,3,"C2",2017-05-21 20:00:00
"C2",96045,2.2,"C2",2017-05-21 21:00:00
"C2",96046,2.1,"C2",2017-05-21 22:00:00
"C2",96047,2,"C2",2017-05-21 23:00:00
"C2",96048,2.1,"C2",2017-05-22 00:00:00
"C2",96049,2.2,"C2",2017-05-22 01:00:00
"C2",96050,2,"C2",2017-05-22 02:00:00
"C2",96051,2.1,"C2",2017-05-22 03:00:00
"C2",96052,2.2,"C2",2017-05-22 04:00:00
"C2",96053,2.2,"C2",2017-05-22 05:00:00
"C2",96054,2.3,"C2",2017-05-22 06:00:00
"C2",96055,2.5,"C2",2017-05-22 07:00:00
"C2",96056,2.9,"C2",2017-05-22 08:00:00
"C2",96057,5.8,"C2",2017-05-22 09:00:00
"C2",96058,8.2,"C2",2017-05-22 10:00:00
"C2",96059,8.8,"C2",2017-05-22 11:00:00
"C2",96060,8.3,"C2",2017-05-22 12:00:00
"C2",96061,10.2,"C2",2017-05-22 13:00:00
"C2",96062,9.9,"C2",2017-05-22 14:00:00
"C2",96063,9.3,"C2",2017-05-22 15:00:00
"C2",96064,7.3,"C2",2017-05-22 16:00:00
"C2",96065,8,"C2",2017-05-22 17:00:00
"C2",96066,5.9,"C2",2017-05-22 18:00:00
"C2",96067,5.2,"C2",2017-05-22 19:00:00
"C2",96068,4.4,"C2",2017-05-22 20:00:00
"C2",96069,3.4,"C2",2017-05-22 21:00:00
"C2",96070,2.9,"C2",2017-05-22 22:00:00
"C2",96071,3,"C2",2017-05-22 23:00:00
"C2",96072,3.1,"C2",2017-05-23 00:00:00
"C2",96073,3,"C2",2017-05-23 01:00:00
"C2",96074,3.1,"C2",2017-05-23 02:00:00
"C2",96075,3.2,"C2",2017-05-23 03:00:00
"C2",96076,3.1,"C2",2017-05-23 04:00:00
"C2",96077,3,"C2",2017-05-23 05:00:00
"C2",96078,3.3,"C2",2017-05-23 06:00:00
"C2",96079,3.7,"C2",2017-05-23 07:00:00
"C2",96080,4.1,"C2",2017-05-23 08:00:00
"C2",96081,5.2,"C2",2017-05-23 09:00:00
"C2",96082,5.2,"C2",2017-05-23 10:00:00
"C2",96083,7,"C2",2017-05-23 11:00:00
"C2",96084,7.1,"C2",2017-05-23 12:00:00
"C2",96085,10.6,"C2",2017-05-23 13:00:00
"C2",96086,10,"C2",2017-05-23 14:00:00
"C2",96087,10.8,"C2",2017-05-23 15:00:00
"C2",96088,12.7,"C2",2017-05-23 16:00:00
"C2",96089,9.9,"C2",2017-05-23 17:00:00
"C2",96090,7.8,"C2",2017-05-23 18:00:00
"C2",96091,7.3,"C2",2017-05-23 19:00:00
"C2",96092,6.4,"C2",2017-05-23 20:00:00
"C2",96093,5.6,"C2",2017-05-23 21:00:00
"C2",96094,5.1,"C2",2017-05-23 22:00:00
"C2",96095,4.7,"C2",2017-05-23 23:00:00
"C2",96096,4.6,"C2",2017-05-24 00:00:00
"C2",96097,4.4,"C2",2017-05-24 01:00:00
"C2",96098,4.2,"C2",2017-05-24 02:00:00
"C2",96099,4.1,"C2",2017-05-24 03:00:00
"C2",96100,4,"C2",2017-05-24 04:00:00
"C2",96101,3.9,"C2",2017-05-24 05:00:00
"C2",96102,3.8,"C2",2017-05-24 06:00:00
"C2",96103,3.9,"C2",2017-05-24 07:00:00
"C2",96104,4,"C2",2017-05-24 08:00:00
"C2",96105,4.2,"C2",2017-05-24 09:00:00
"C2",96106,4.5,"C2",2017-05-24 10:00:00
"C2",96107,5,"C2",2017-05-24 11:00:00
"C2",96108,5.3,"C2",2017-05-24 12:00:00
"C2",96109,5.6,"C2",2017-05-24 13:00:00
"C2",96110,6,"C2",2017-05-24 14:00:00
"C2",96111,6.1,"C2",2017-05-24 15:00:00
"C2",96112,6.3,"C2",2017-05-24 16:00:00
"C2",96113,6.4,"C2",2017-05-24 17:00:00
