"site","out","temp","date.time"
"B1",3153,30.9,2017-09-15 21:00:00
"B1",6346,30.9,2017-09-15 21:00:00
"B1",9539,30.9,2017-09-15 21:00:00
"B1",12732,30.9,2017-09-15 21:00:00
"B1",15925,30.9,2017-09-15 21:00:00
"B1",19118,30.9,2017-09-15 21:00:00
"B3",19159,26.2,2017-05-07 17:00:00
"B3",22784,27,2017-05-07 17:00:00
"B3",26409,25.9,2017-05-07 17:00:00
"B3",30034,29.4,2017-05-07 17:00:00
"B3",33659,28.2,2017-05-07 17:00:00
"B3",37284,26.2,2017-05-07 17:00:00
"B5",44976,31.4,2017-05-25 14:00:00
"B5",44977,33.5,2017-05-25 15:00:00
"B5",44978,33.5,2017-05-25 16:00:00
"B5",44979,31.4,2017-05-25 17:00:00
"B5",44999,30.3,2017-05-26 13:00:00
"B5",45000,34.6,2017-05-26 14:00:00
"B5",45001,35.6,2017-05-26 15:00:00
"B5",45002,34.5,2017-05-26 16:00:00
"B5",45003,31.7,2017-05-26 17:00:00
"C2",90047,69.4,2017-07-16 23:00:00
"C2",90048,63.5,2017-07-17 00:00:00
"C2",90049,69.6,2017-07-17 01:00:00
"C2",90053,69.3,2017-07-17 05:00:00
"C2",90056,75.2,2017-07-17 08:00:00
"C2",90062,58.7,2017-07-17 14:00:00
"C3",108694,-11.1,2017-07-29 18:00:00
"C3",108695,-7.5,2017-07-29 19:00:00
"C3",108696,-8.5,2017-07-29 20:00:00
"C3",108697,-17.9,2017-07-29 21:00:00
"C3",118174,75.2,2017-05-29 06:00:00
"C3",118175,52.5,2017-05-29 07:00:00
"C3",121918,43.8,2017-06-02 02:00:00
"C4",150315,-12.7,2017-10-02 08:00:00
"C4",150316,-14,2017-10-02 09:00:00
"C4",150317,-14.8,2017-10-02 10:00:00
"C4",150318,-15.4,2017-10-02 11:00:00
"C4",150319,-15.9,2017-10-02 12:00:00
"C4",150320,-16.2,2017-10-02 13:00:00
"C4",150321,-16.6,2017-10-02 14:00:00
"C4",150322,-16.8,2017-10-02 15:00:00
"C4",150323,-17.1,2017-10-02 16:00:00
"C4",150324,-17.3,2017-10-02 17:00:00
"C4",150325,-17.6,2017-10-02 18:00:00
"C4",150326,-17.9,2017-10-02 19:00:00
"C4",150327,-18.2,2017-10-02 20:00:00
"C4",150328,-18.4,2017-10-02 21:00:00
"C4",150329,-19,2017-10-02 22:00:00
"C4",150330,-19.1,2017-10-02 23:00:00
"C4",150331,-19.4,2017-10-03 00:00:00
"C4",150332,-19.5,2017-10-03 01:00:00
"C4",150333,-19.7,2017-10-03 02:00:00
"C4",150334,-19.9,2017-10-03 03:00:00
"C4",150385,-10.7,2017-10-05 06:00:00
"C4",150386,-10.8,2017-10-05 07:00:00
"C4",150387,-11.5,2017-10-05 08:00:00
"C4",150388,-12,2017-10-05 09:00:00
"C4",150389,-12.8,2017-10-05 10:00:00
"C4",150390,-13.3,2017-10-05 11:00:00
"C4",150391,-13.7,2017-10-05 12:00:00
"C4",150392,-14.1,2017-10-05 13:00:00
"C4",150393,-14.5,2017-10-05 14:00:00
"C4",150394,-14.9,2017-10-05 15:00:00
"C4",150395,-15.2,2017-10-05 16:00:00
"C4",150396,-15.7,2017-10-05 17:00:00
"C4",150397,-16,2017-10-05 18:00:00
"C4",150398,-16.3,2017-10-05 19:00:00
"C4",150399,-16.5,2017-10-05 20:00:00
"C4",150400,-16.8,2017-10-05 21:00:00
"C4",150401,-17.1,2017-10-05 22:00:00
"C4",150402,-17.3,2017-10-05 23:00:00
"C4",150403,-17.6,2017-10-06 00:00:00
"C4",150404,-17.9,2017-10-06 01:00:00
"C4",150405,-18.1,2017-10-06 02:00:00
"C4",150406,-18.4,2017-10-06 03:00:00
"C4",150407,-18.7,2017-10-06 04:00:00
"C4",150408,-19,2017-10-06 05:00:00
"C4",150409,-19.1,2017-10-06 06:00:00
"C4",150410,-19.3,2017-10-06 07:00:00
"C4",150411,-19.4,2017-10-06 08:00:00
"C4",150412,-19.5,2017-10-06 09:00:00
"C4",150413,-19.6,2017-10-06 10:00:00
"C4",150414,-19.8,2017-10-06 11:00:00
"C4",150415,-19.9,2017-10-06 12:00:00
"C4",150416,-19.9,2017-10-06 13:00:00
"C4",150417,-20,2017-10-06 14:00:00
"D2",205032,-19.9,2017-08-26 03:00:00
"D2",205033,-20,2017-08-26 04:00:00
"D2",205069,-20,2017-08-27 16:00:00
"D2",205070,-20,2017-08-27 17:00:00
"L2",306299,-1.3,2017-08-07 00:00:00
"L2",306300,-9,2017-08-07 01:00:00
"L2",306302,-15.7,2017-08-07 03:00:00
"L2",306314,-5.4,2017-08-07 15:00:00
"L2",306315,-5.9,2017-08-07 16:00:00
"L2",306316,-8.5,2017-08-07 17:00:00
"L2",306746,-12.4,2017-08-25 15:00:00
"L2",306747,-11.2,2017-08-25 16:00:00
"L2",306748,-15.2,2017-08-25 17:00:00
"L2",306749,42,2017-08-25 18:00:00
"L2",306768,-20,2017-08-26 13:00:00
"L2",306769,-13.5,2017-08-26 14:00:00
"L2",306770,-11.3,2017-08-26 15:00:00
"L2",306771,-14.5,2017-08-26 16:00:00
"L2",306792,-15,2017-08-27 13:00:00
"L2",306793,-19.1,2017-08-27 14:00:00
"L2",306816,64.3,2017-08-28 13:00:00
"L2",306866,57.4,2017-08-30 15:00:00
"L2",306867,48.8,2017-08-30 16:00:00
"L2",306889,73.2,2017-08-31 14:00:00
"L2",306890,79.1,2017-08-31 15:00:00
"L2",306915,-17.6,2017-09-01 16:00:00
"L2",306917,71.4,2017-09-01 18:00:00
"L2",306961,-17.1,2017-09-03 14:00:00
"L2",306962,-17.9,2017-09-03 15:00:00
"L2",306966,53.5,2017-09-03 19:00:00
"L2",307011,72.7,2017-09-05 16:00:00
"L2",307032,61.6,2017-09-06 13:00:00
"L2",307033,61.3,2017-09-06 14:00:00
"L2",307083,70.5,2017-09-08 16:00:00
"L2",307108,-19.2,2017-09-09 17:00:00
"L2",307299,-4.9,2017-09-17 16:00:00
"L2",307320,61.1,2017-09-18 13:00:00
"L2",307344,-19.9,2017-09-19 13:00:00
"L2",307393,-7.3,2017-09-21 14:00:00
