Region,Site,Latitude,Longitude,DataloggerStart,DataloggerStart_actual,DataloggerEnd_actual,Flight1,StartDrought,EndDrought,Flight2,Day8,Flight3,Day16,Flight4,Day32,Flight5,Day64,Flight6,Flight7
Border,B1,54.39917,-6.609722,5/17/2017,5/6/2017,9/17/2017,5/22/2017,5/22/2017,7/16/2017,7/17/2017,7/24/2017,7/25/2017,8/1/2017,8/1/2017,8/17/2017,8/23/2017,9/18/2017,9/4/2017,9/21/2017
Border,B2,54.23111,-6.794444,5/17/2017,NA,NA,5/22/2017,5/22/2017,7/16/2017,7/17/2017,7/24/2017,7/25/2017,8/1/2017,8/1/2017,8/17/2017,8/23/2017,9/18/2017,9/5/2017,9/29/2017
Border,B3,54.26472,-6.491666,5/18/2017,5/7/2017,10/5/2017,5/22/2017,5/22/2017,7/17/2017,7/18/2017,7/25/2017,7/25/2017,8/2/2017,8/1/2017,8/18/2017,8/23/2017,9/19/2017,9/4/2017,9/21/2017
Border,B4,54.19444,-6.488611,5/19/2017,NA,NA,5/23/2017,5/23/2017,7/18/2017,7/21/2017,7/26/2017,7/25/2017,8/3/2017,8/1/2017,8/19/2017,8/23/2017,9/20/2017,9/4/2017,9/21/2017
Border,B5,54.15833,-7.004722,5/18/2017,5/7/2017,10/6/2017,5/23/2017,5/23/2017,7/17/2017,7/21/2017,7/25/2017,7/26/2017,8/2/2017,8/5/2017,8/18/2017,8/25/2017,9/19/2017,9/5/2017,9/29/2017
Dublin,D1,53.595,-6.405555,5/19/2017,5/9/2017,10/12/2017,5/24/2017,5/24/2017,7/18/2017,7/21/2017,7/26/2017,7/26/2017,8/3/2017,8/11/2017,8/19/2017,8/24/2017,9/20/2017,10/10/2017,NA
Dublin,D2,53.56806,-6.416666,5/24/2017,5/9/2017,10/12/2017,5/24/2017,5/24/2017,7/23/2017,7/24/2017,7/31/2017,7/31/2017,8/8/2017,8/24/2017,8/24/2017,9/1/2017,9/25/2017,9/29/2017,NA
Dublin,D3,53.63639,-6.711666,5/24/2017,5/9/2017,10/9/2017,5/24/2017,5/24/2017,7/23/2017,7/24/2017,7/31/2017,7/31/2017,8/8/2017,8/11/2017,8/24/2017,9/1/2017,9/25/2017,10/10/2017,NA
Dublin,D4,53.59639,-6.726388,5/26/2017,5/9/2017,10/10/2017,5/26/2017,5/26/2017,7/25/2017,7/24/2017,8/2/2017,7/31/2017,8/10/2017,8/10/2017,8/26/2017,9/1/2017,9/27/2017,10/10/2017,NA
Dublin,D5,53.4675,-6.936666,5/26/2017,5/9/2017,9/24/2017,5/26/2017,5/26/2017,7/25/2017,7/24/2017,8/2/2017,7/31/2017,8/10/2017,8/10/2017,8/26/2017,9/1/2017,9/27/2017,10/10/2017,NA
Limerick,L1,52.8021,-8.461277,5/29/2017,5/9/2017,10/14/2017,5/29/2017,5/29/2017,7/28/2017,7/28/2017,8/5/2017,8/3/2017,8/13/2017,8/14/2017,8/29/2017,9/6/2017,9/30/2017,NA,NA
Limerick,L2,52.57833,-8.188055,6/9/2017,5/10/2017,10/12/2017,6/9/2017,6/9/2017,8/8/2017,8/8/2017,8/16/2017,NA,8/24/2017,8/15/2017,9/9/2017,9/18/2017,10/11/2017,NA,NA
Limerick,L3,52.7503,-8.354259,5/29/2017,5/10/2017,10/14/2017,5/29/2017,5/29/2017,7/28/2017,7/28/2017,8/5/2017,8/3/2017,8/13/2017,8/14/2017,8/29/2017,9/6/2017,9/30/2017,NA,NA
Limerick,L4,52.71528,-7.918055,6/9/2017,5/11/2017,10/12/2017,6/9/2017,6/9/2017,8/8/2017,8/8/2017,8/16/2017,NA,8/24/2017,8/15/2017,9/9/2017,9/18/2017,10/11/2017,NA,NA
Limerick,L5,52.83305,-8.235725,5/29/2017,5/11/2017,10/14/2017,5/29/2017,5/29/2017,7/28/2017,7/28/2017,8/5/2017,8/3/2017,8/13/2017,8/14/2017,8/29/2017,9/6/2017,9/30/2017,NA,NA
Cork,C1,51.76111,-8.460833,5/30/2017,5/12/2017,10/12/2017,5/30/2017,5/30/2017,7/29/2017,7/29/2017,8/6/2017,8/4/2017,8/14/2017,8/17/2017,8/30/2017,8/29/2017,10/1/2017,NA,NA
Cork,C2,51.73639,-8.624722,5/30/2017,5/12/2017,10/12/2017,5/30/2017,5/30/2017,7/29/2017,7/29/2017,8/6/2017,8/4/2017,8/14/2017,8/17/2017,8/30/2017,8/29/2017,10/1/2017,NA,NA
Cork,C3,51.91818,-8.955555,5/31/2017,5/13/2017,10/12/2017,5/31/2017,5/31/2017,7/30/2017,7/29/2017,8/7/2017,8/4/2017,8/15/2017,8/17/2017,8/31/2017,8/29/2017,10/2/2017,NA,NA
Cork,C4,52.03065,-9.079933,6/8/2017,5/13/2017,10/12/2017,6/8/2017,6/8/2017,8/7/2017,8/7/2017,8/15/2017,8/18/2017,8/23/2017,8/30/2017,9/8/2017,9/7/2017,10/10/2017,NA,NA
Cork,C5,52.12233,-9.050161,6/8/2017,5/13/2017,10/12/2017,6/8/2017,6/8/2017,8/7/2017,8/7/2017,8/15/2017,8/18/2017,8/23/2017,8/30/2017,9/8/2017,9/7/2017,10/10/2017,NA,NA
