Label,"Power","Theta","SoilTemp","Theta(2)","SoilTemp(2)","Theta(3)","SoilTemp(3)","Theta(4)","SoilTemp(4)","Theta(5)","SoilTemp(5)","Theta(6)","SoilTemp(6)"
Units,"V","%","deg C","%","deg C","%","deg C","%","deg C","%","deg C","%","deg C"
06/05/2017 22:00:00,9.4,#-INF,19.9,#-INF,19.6,#-INF,19.7,#-INF,19.4,#-INF,19.8,#-INF,19.7
07/05/2017 14:00:00,9.3,45.7,23.7,43.5,21.0,36.6,23.7,41.1,23.5,45.9,22.1,39.4,23.8
07/05/2017 15:00:00,9.3,44.6,20.8,43.7,19.3,36.0,21.0,40.6,21.3,45.2,20.2,38.6,22.1
07/05/2017 16:00:00,9.3,44.0,20.8,43.2,19.7,35.8,21.0,40.2,21.5,44.8,20.5,38.1,22.3
07/05/2017 17:00:00,9.3,43.6,20.7,43.1,19.8,35.5,20.8,39.8,21.3,44.6,20.5,37.8,22.0
07/05/2017 18:00:00,9.2,43.5,19.8,43.0,19.5,35.4,19.8,39.5,20.1,44.4,19.9,37.7,20.9
07/05/2017 19:00:00,9.2,43.4,18.4,42.9,18.4,35.3,18.1,39.4,18.4,44.3,18.6,37.7,19.0
07/05/2017 20:00:00,9.1,43.4,17.2,43.0,17.3,35.3,16.8,39.3,17.1,44.3,17.3,37.5,17.6
07/05/2017 21:00:00,9.1,43.4,16.3,43.0,16.5,35.2,15.9,39.2,16.1,44.3,16.4,37.4,16.6
07/05/2017 22:00:00,9.1,43.4,15.4,42.9,15.7,35.1,15.0,39.2,15.2,44.3,15.6,37.4,15.7
07/05/2017 23:00:00,9.1,43.4,14.6,42.9,15.0,35.1,14.3,39.2,14.3,44.3,14.8,37.4,14.9
08/05/2017 00:00:00,9.1,43.4,13.9,42.9,14.3,35.1,13.6,39.1,13.7,44.3,14.1,37.4,14.2
08/05/2017 01:00:00,9.1,43.4,13.4,42.9,13.8,35.0,13.1,39.1,13.1,44.3,13.6,37.4,13.5
08/05/2017 02:00:00,9.1,43.4,12.9,42.9,13.3,35.0,12.6,39.1,12.6,44.3,13.1,37.4,13.0
08/05/2017 03:00:00,9.1,43.4,12.5,42.9,12.9,35.0,12.2,39.0,12.2,44.3,12.7,37.4,12.6
08/05/2017 04:00:00,9.1,43.4,12.1,42.9,12.5,34.9,11.9,39.0,11.9,44.3,12.4,37.4,12.3
08/05/2017 05:00:00,9.1,43.4,11.7,42.9,12.1,34.9,11.5,39.0,11.4,44.3,12.0,37.4,11.8
08/05/2017 06:00:00,9.1,43.4,11.4,42.9,11.8,34.9,11.2,39.0,11.1,44.3,11.6,37.4,11.5
08/05/2017 07:00:00,9.1,43.4,11.2,42.9,11.6,34.8,11.1,39.0,10.9,44.2,11.5,37.4,11.3
