Label,"Power","Theta","SoilTemp","Theta(2)","SoilTemp(2)","Theta(3)","SoilTemp(3)","Theta(4)","SoilTemp(4)","Theta(5)","SoilTemp(5)","Theta(6)","SoilTemp(6)"
Units,"V","%","deg C","%","deg C","%","deg C","%","deg C","%","deg C","%","deg C"
09/05/2017 12:00:00,9.4,26.2,16.2,23.8,17.6,19.3,16.1,31.9,16.8,28.4,17.0,23.9,16.2
09/05/2017 13:00:00,9.4,26.2,14.6,23.8,15.5,19.3,13.7,31.9,14.6,28.3,14.7,23.8,14.5
09/05/2017 14:00:00,9.4,26.2,16.1,23.7,17.1,19.3,14.8,31.7,15.4,28.3,15.9,23.7,16.1
09/05/2017 15:00:00,9.4,26.2,17.1,23.7,18.3,19.3,15.8,31.6,16.2,28.3,17.2,23.7,17.2
09/05/2017 16:00:00,9.4,26.2,17.7,23.6,18.9,19.3,16.3,31.5,16.8,28.3,18.1,23.7,17.7
09/05/2017 17:00:00,9.3,26.2,17.8,23.6,19.0,19.3,16.4,31.4,17.0,28.2,18.5,23.6,17.6
09/05/2017 18:00:00,9.3,26.2,17.5,23.5,18.5,19.6,16.1,31.3,17.0,28.2,18.4,23.6,17.1
09/05/2017 19:00:00,9.3,26.1,16.5,23.5,17.4,19.6,15.3,31.2,16.7,28.2,17.9,23.6,16.2
09/05/2017 20:00:00,9.2,26.1,15.6,23.5,16.2,19.5,14.5,31.2,16.2,28.1,17.1,23.5,15.2
09/05/2017 21:00:00,9.2,26.1,14.6,23.4,15.0,19.5,13.8,31.1,15.5,28.0,16.1,23.5,14.2
09/05/2017 22:00:00,9.2,26.0,13.5,23.4,13.7,19.4,13.0,31.1,14.7,28.0,14.9,23.5,13.3
09/05/2017 23:00:00,9.2,25.9,12.6,23.4,12.6,19.2,12.2,31.1,13.8,27.9,13.9,23.4,12.4
10/05/2017 00:00:00,9.2,25.9,11.8,23.4,11.8,19.2,11.5,31.0,13.1,27.8,13.1,23.4,11.5
10/05/2017 01:00:00,9.2,25.9,11.1,23.4,11.1,19.1,10.9,31.0,12.5,27.8,12.5,23.4,10.8
10/05/2017 02:00:00,9.2,25.8,10.6,23.4,10.6,19.1,10.5,31.0,11.9,27.7,11.9,23.4,10.2
10/05/2017 03:00:00,9.2,25.8,10.2,23.4,10.1,19.1,10.1,31.0,11.4,27.7,11.4,23.4,9.7
10/05/2017 04:00:00,9.2,25.8,9.9,23.4,9.7,19.1,9.7,30.9,10.9,27.6,11.0,23.3,9.3
10/05/2017 05:00:00,9.2,25.8,9.5,23.4,9.4,19.1,9.4,30.9,10.5,27.6,10.6,23.3,8.8
10/05/2017 06:00:00,9.2,25.8,9.3,23.3,9.0,19.0,9.1,30.9,10.2,27.5,10.3,23.3,8.5
10/05/2017 07:00:00,9.2,25.7,9.1,23.3,8.9,19.0,9.0,30.9,9.9,27.5,10.1,23.3,8.2
10/05/2017 08:00:00,9.3,25.7,9.4,23.3,9.3,19.0,9.1,30.9,10.0,27.4,10.1,23.3,8.5
10/05/2017 09:00:00,9.3,25.7,10.0,23.2,10.3,19.0,9.9,30.8,10.6,27.4,10.5,23.2,9.6
10/05/2017 10:00:00,9.4,25.7,11.1,23.2,11.9,19.0,10.6,30.8,11.7,27.4,11.3,23.1,10.8
10/05/2017 11:00:00,9.4,25.7,13.1,23.2,13.8,19.0,12.2,30.8,13.1,27.4,12.6,23.1,13.2
10/05/2017 12:00:00,9.4,25.7,15.1,23.2,15.8,19.0,13.8,30.7,14.6,27.4,14.1,23.0,15.6
10/05/2017 13:00:00,9.4,25.7,16.7,23.1,17.6,19.0,15.3,30.7,16.0,27.4,15.7,23.0,17.4
10/05/2017 14:00:00,9.4,25.8,18.1,23.1,19.1,19.0,16.4,30.6,17.1,27.5,17.3,23.0,18.8
10/05/2017 15:00:00,9.4,25.8,18.8,23.1,20.0,19.0,17.1,30.5,17.9,27.5,18.6,23.0,19.3
10/05/2017 16:00:00,9.4,25.8,19.0,23.1,20.2,19.1,17.3,30.4,18.2,27.5,19.3,23.0,19.1
10/05/2017 17:00:00,9.3,25.8,18.8,23.0,19.9,19.1,17.1,30.4,18.2,27.5,19.4,23.0,18.5
10/05/2017 18:00:00,9.3,25.7,18.2,23.0,19.2,19.1,16.6,30.3,17.9,27.5,19.1,23.0,17.6
10/05/2017 19:00:00,9.3,25.7,17.1,22.9,18.2,19.0,15.8,30.2,17.5,27.5,18.5,22.9,16.8
10/05/2017 20:00:00,9.2,25.6,16.3,22.9,17.0,19.0,15.1,30.2,17.0,27.4,17.7,22.9,16.0
10/05/2017 21:00:00,9.2,25.6,15.3,22.9,15.8,18.9,14.3,30.2,16.3,27.4,16.6,22.9,15.2
10/05/2017 22:00:00,9.2,25.6,14.3,22.9,14.6,18.9,13.6,30.2,15.6,27.3,15.6,22.9,14.2
10/05/2017 23:00:00,9.2,25.5,13.5,22.9,13.7,18.9,13.0,30.2,14.8,27.2,14.7,22.8,13.4
11/05/2017 00:00:00,9.2,25.5,12.8,22.9,13.0,18.8,12.4,30.2,14.1,27.2,14.0,22.8,12.7
11/05/2017 01:00:00,9.2,25.4,12.4,22.9,12.5,18.8,12.0,30.2,13.5,27.1,13.5,22.8,12.1
11/05/2017 02:00:00,9.2,25.4,11.8,22.9,11.8,18.8,11.5,30.2,13.0,27.1,12.9,22.8,11.4
11/05/2017 03:00:00,9.2,25.4,11.2,22.9,11.2,18.8,11.0,30.2,12.5,27.1,12.4,22.8,10.8
11/05/2017 04:00:00,9.2,25.4,10.7,22.9,10.7,18.7,10.6,30.2,11.9,27.0,11.9,22.8,10.2
11/05/2017 05:00:00,9.2,25.3,10.4,22.9,10.3,18.7,10.2,30.2,11.4,27.0,11.4,22.8,9.8
11/05/2017 06:00:00,9.2,25.3,10.1,22.9,9.9,18.7,9.9,30.1,11.0,26.9,11.1,22.7,9.4
11/05/2017 07:00:00,9.2,25.3,9.9,22.9,9.7,18.7,9.7,30.1,10.8,26.9,10.8,22.7,9.1
11/05/2017 08:00:00,9.3,25.3,10.1,22.9,10.1,18.7,9.9,30.1,10.8,26.9,10.8,22.7,9.4
11/05/2017 09:00:00,9.3,25.2,10.8,22.8,11.2,18.6,10.6,30.1,11.4,26.9,11.3,22.7,10.5
11/05/2017 10:00:00,9.3,25.3,11.9,22.8,12.7,18.6,11.3,30.0,12.3,26.8,12.2,22.6,11.7
11/05/2017 11:00:00,9.3,25.2,13.4,22.8,14.3,18.6,12.6,30.0,13.4,26.8,13.4,22.6,13.6
11/05/2017 12:00:00,9.4,25.2,15.1,22.7,16.2,18.6,14.0,29.9,14.7,26.9,14.8,22.6,15.7
11/05/2017 13:00:00,9.4,25.3,16.6,22.7,17.8,18.6,15.4,29.9,15.9,26.9,16.2,22.5,17.2
11/05/2017 14:00:00,9.4,25.3,17.7,22.7,19.1,18.6,16.3,29.8,16.8,26.9,17.6,22.6,18.3
11/05/2017 15:00:00,9.3,25.3,18.5,22.7,19.8,18.6,16.9,29.8,17.6,27.0,18.7,22.5,18.9
11/05/2017 16:00:00,9.3,25.3,17.7,22.7,18.5,18.6,16.5,29.7,17.6,27.0,18.3,22.6,18.0
11/05/2017 17:00:00,9.2,25.2,16.7,22.6,17.5,18.6,15.9,29.7,17.1,27.0,17.5,22.6,17.0
11/05/2017 18:00:00,9.2,25.2,16.2,22.6,16.8,18.6,15.4,29.7,16.7,26.9,16.9,22.6,16.4
11/05/2017 19:00:00,9.2,25.1,15.6,22.6,16.1,18.6,14.9,29.7,16.3,26.9,16.4,22.5,15.7
11/05/2017 20:00:00,9.2,25.1,15.1,22.6,15.5,18.6,14.5,29.7,15.9,26.8,15.9,22.5,15.2
11/05/2017 21:00:00,9.2,25.1,14.6,22.6,15.0,18.6,14.1,29.7,15.5,26.8,15.5,22.5,14.6
11/05/2017 22:00:00,9.2,25.1,14.1,22.6,14.5,18.6,13.7,29.7,15.1,26.8,15.0,22.5,14.1
11/05/2017 23:00:00,9.2,25.0,13.8,22.6,14.1,18.6,13.5,29.7,14.7,26.7,14.7,22.5,13.7
12/05/2017 00:00:00,9.2,25.0,13.6,22.6,13.8,18.6,13.2,29.7,14.4,26.7,14.4,22.5,13.4
12/05/2017 01:00:00,9.2,25.0,13.4,22.6,13.6,18.5,13.0,29.7,14.1,26.7,14.1,22.5,13.1
12/05/2017 02:00:00,9.2,25.0,13.1,22.6,13.3,18.5,12.8,29.7,13.9,26.7,13.9,22.5,12.9
12/05/2017 03:00:00,9.2,25.0,12.9,22.6,13.1,18.5,12.6,29.7,13.7,26.6,13.6,22.5,12.6
12/05/2017 04:00:00,9.2,25.0,12.8,22.6,13.0,18.5,12.5,29.7,13.5,26.6,13.5,22.5,12.5
12/05/2017 05:00:00,9.2,25.0,12.8,22.6,12.9,18.5,12.4,29.7,13.4,26.6,13.4,22.5,12.4
12/05/2017 06:00:00,9.2,25.1,12.8,22.6,12.8,18.5,12.4,29.7,13.3,26.6,13.3,22.5,12.4
12/05/2017 07:00:00,9.2,25.1,12.7,22.6,12.8,18.5,12.3,29.7,13.3,26.6,13.3,22.5,12.3
12/05/2017 08:00:00,9.2,25.1,12.8,22.6,12.9,18.5,12.4,29.7,13.3,26.6,13.3,22.5,12.4
12/05/2017 09:00:00,9.2,25.1,13.1,22.6,13.3,18.5,12.6,29.7,13.4,26.6,13.5,22.5,12.7
12/05/2017 10:00:00,9.3,25.1,13.7,22.6,13.9,18.5,13.0,29.7,13.8,26.6,13.9,22.5,13.2
12/05/2017 11:00:00,9.3,25.1,14.1,22.6,14.5,18.5,13.4,29.7,14.2,26.6,14.4,22.5,13.7
12/05/2017 12:00:00,9.3,25.2,14.5,22.7,14.9,18.5,13.7,29.7,14.5,26.7,14.7,22.5,14.1
12/05/2017 13:00:00,9.3,25.2,15.0,22.6,15.5,18.5,14.1,29.7,14.9,26.7,15.2,22.5,14.6
12/05/2017 14:00:00,9.3,25.2,15.4,22.7,16.0,18.5,14.6,29.7,15.4,26.8,15.7,22.5,15.1
12/05/2017 15:00:00,9.2,25.2,15.5,22.7,15.9,18.6,14.7,29.7,15.6,26.8,15.9,22.6,15.2
12/05/2017 16:00:00,9.2,25.3,15.3,22.7,15.8,18.6,14.6,29.7,15.6,26.8,15.8,22.6,15.1
12/05/2017 17:00:00,9.2,25.3,15.3,22.7,15.7,18.6,14.6,29.7,15.6,26.8,15.8,22.6,15.0
12/05/2017 18:00:00,9.2,25.3,15.4,22.8,15.8,18.7,14.6,29.8,15.6,26.8,15.8,22.6,15.1
12/05/2017 19:00:00,9.2,25.3,15.4,22.8,15.6,18.7,14.6,29.8,15.7,26.9,15.9,22.6,15.0
12/05/2017 20:00:00,9.2,25.4,15.0,22.8,15.2,18.8,14.3,29.8,15.4,26.9,15.6,22.6,14.7
12/05/2017 21:00:00,9.2,25.4,14.6,22.8,14.7,18.8,14.0,29.8,15.2,26.9,15.2,22.7,14.2
12/05/2017 22:00:00,9.2,25.4,14.2,22.8,14.2,18.9,13.7,29.9,14.8,26.9,14.9,24.2,13.8
12/05/2017 23:00:00,9.2,25.4,13.9,22.8,13.9,18.9,13.5,29.9,14.5,26.9,14.5,24.2,13.5
13/05/2017 00:00:00,9.2,25.4,13.7,22.9,13.6,18.9,13.3,30.0,14.2,26.9,14.3,23.9,13.2
13/05/2017 01:00:00,9.2,25.4,13.5,22.9,13.5,18.9,13.1,30.0,14.0,26.9,14.1,23.8,13.1
13/05/2017 02:00:00,9.2,25.4,13.4,22.9,13.4,18.9,13.0,30.0,13.9,26.9,13.9,23.6,12.9
13/05/2017 03:00:00,9.2,25.4,13.3,22.9,13.2,18.8,12.9,30.1,13.8,26.9,13.8,23.6,12.8
13/05/2017 04:00:00,9.2,25.5,13.2,22.9,13.1,18.8,12.8,30.1,13.6,26.9,13.7,23.5,12.7
13/05/2017 05:00:00,9.2,25.5,13.1,22.9,13.0,18.8,12.7,30.1,13.5,26.9,13.5,23.4,12.6
13/05/2017 06:00:00,9.2,25.5,13.0,22.9,12.8,18.8,12.6,30.2,13.4,26.9,13.4,23.4,12.4
13/05/2017 07:00:00,9.2,25.5,12.8,22.9,12.6,18.8,12.5,30.2,13.3,26.9,13.2,23.4,12.3
13/05/2017 08:00:00,9.2,25.5,12.7,23.0,12.5,18.9,12.4,30.2,13.1,27.0,13.1,23.4,12.2
13/05/2017 09:00:00,9.2,25.6,12.7,23.1,12.5,18.9,12.4,30.3,13.1,27.1,13.1,23.7,12.1
13/05/2017 10:00:00,9.2,25.6,13.1,23.1,13.0,18.9,12.6,30.3,13.3,27.2,13.3,24.2,12.5
13/05/2017 11:00:00,9.3,25.7,13.9,23.1,14.1,18.9,13.2,30.4,13.8,27.3,13.8,24.1,13.5
13/05/2017 12:00:00,9.3,25.7,15.4,23.1,15.8,18.9,14.4,30.4,15.0,27.4,15.0,23.9,15.2
13/05/2017 13:00:00,9.3,25.8,16.4,23.2,16.8,18.9,15.3,30.4,16.1,27.5,16.0,23.8,16.3
13/05/2017 14:00:00,9.2,25.9,16.5,23.2,16.8,19.0,15.5,30.4,16.5,27.6,16.3,23.8,16.4
13/05/2017 15:00:00,9.2,25.9,16.5,23.3,16.7,19.0,15.5,30.5,16.6,27.6,16.4,23.8,16.3
13/05/2017 16:00:00,9.3,25.9,16.6,23.3,17.0,19.1,15.7,30.5,16.8,27.7,16.6,23.7,16.4
13/05/2017 17:00:00,9.2,26.0,16.9,23.3,17.3,19.1,15.9,30.5,17.0,27.7,16.9,23.7,16.6
13/05/2017 18:00:00,9.2,26.0,16.7,23.4,16.9,19.1,15.7,30.6,17.0,27.7,16.8,23.7,16.4
13/05/2017 19:00:00,9.2,26.0,16.3,23.3,16.5,19.1,15.5,30.6,16.8,27.8,16.6,23.7,16.0
13/05/2017 20:00:00,9.2,26.0,15.9,23.4,16.0,19.2,15.2,30.6,16.5,27.8,16.2,23.7,15.5
13/05/2017 21:00:00,9.2,26.0,15.4,23.4,15.5,19.2,14.8,30.7,16.1,27.8,15.8,23.7,15.0
13/05/2017 22:00:00,9.2,26.1,14.9,23.5,14.8,19.3,14.3,30.7,15.7,27.8,15.4,23.7,14.4
13/05/2017 23:00:00,9.2,26.1,14.3,23.5,14.0,19.3,13.8,30.8,15.1,28.4,14.8,23.7,13.8
14/05/2017 00:00:00,9.2,26.2,13.7,23.5,13.4,19.3,13.4,30.9,14.5,28.9,14.2,23.7,13.1
14/05/2017 01:00:00,9.2,26.2,13.2,23.6,12.9,19.3,12.9,31.0,14.0,29.3,13.7,23.7,12.5
14/05/2017 02:00:00,9.2,26.2,12.8,23.6,12.4,19.3,12.6,31.2,13.5,29.8,13.4,23.6,12.1
14/05/2017 03:00:00,9.1,26.3,12.4,23.7,11.9,19.3,12.2,31.3,13.1,30.0,13.0,23.6,11.6
14/05/2017 04:00:00,9.1,26.3,12.0,23.7,11.4,19.3,11.8,31.4,12.7,30.1,12.6,23.6,11.1
14/05/2017 05:00:00,9.1,26.3,11.6,23.7,11.0,19.3,11.4,31.5,12.3,30.2,12.2,23.6,10.7
14/05/2017 06:00:00,9.1,26.4,11.2,23.7,10.6,19.3,11.1,31.6,11.9,30.2,11.9,23.6,10.3
14/05/2017 07:00:00,9.2,26.4,11.0,23.8,10.4,19.3,10.9,31.7,11.5,30.3,11.6,23.6,10.0
