Label,"Power","Theta","SoilTemp","Theta(2)","SoilTemp(2)","Theta(3)","SoilTemp(3)","Theta(4)","SoilTemp(4)","Theta(5)","SoilTemp(5)","Theta(6)","SoilTemp(6)"
Units,"V","%","deg C","%","deg C","%","deg C","%","deg C","%","deg C","%","deg C"
10/05/2017 14:00:00,9.3,22.9,17.6,22.8,16.1,24.2,16.7,23.3,15.8,23.6,15.7,22.9,17.6
10/05/2017 15:00:00,9.3,22.8,18.7,22.6,16.9,24.0,17.4,23.2,16.3,23.5,16.2,22.7,19.2
10/05/2017 16:00:00,9.3,22.7,19.5,22.5,18.0,23.9,18.2,23.1,17.1,23.4,17.2,22.5,20.2
10/05/2017 17:00:00,9.3,22.6,19.8,22.4,18.4,23.8,18.5,23.0,17.5,23.4,17.8,22.4,20.3
10/05/2017 18:00:00,9.2,22.5,19.6,22.3,18.4,23.8,18.4,22.9,17.6,23.3,18.0,22.4,19.7
10/05/2017 19:00:00,9.2,22.5,18.6,22.3,17.9,23.7,17.6,22.9,17.1,23.3,17.8,22.3,18.2
10/05/2017 20:00:00,9.2,22.5,17.2,22.3,17.1,23.7,16.5,22.9,16.5,23.2,17.3,22.3,16.7
10/05/2017 21:00:00,9.1,22.4,16.0,22.3,16.1,23.7,15.5,22.9,15.6,23.2,16.5,22.3,15.4
10/05/2017 22:00:00,9.1,22.4,14.8,22.2,15.0,23.6,14.4,22.8,14.7,23.1,15.5,22.3,13.9
10/05/2017 23:00:00,9.1,22.4,13.7,22.2,14.0,23.6,13.5,22.8,13.9,23.1,14.5,22.4,12.7
11/05/2017 00:00:00,9.1,22.4,12.9,22.2,13.3,23.6,12.8,22.8,13.2,23.1,13.6,22.4,11.9
11/05/2017 01:00:00,9.1,22.4,12.2,22.2,12.7,23.6,12.1,22.8,12.7,23.1,12.9,22.4,11.2
11/05/2017 02:00:00,9.1,22.4,11.6,22.2,12.1,23.6,11.6,22.8,12.2,23.1,12.3,22.4,10.7
11/05/2017 03:00:00,9.1,22.4,11.0,22.2,11.7,23.6,11.1,22.8,11.7,23.1,11.7,22.4,10.1
11/05/2017 04:00:00,9.1,22.4,10.6,22.2,11.2,23.6,10.6,22.8,11.3,23.1,11.2,22.4,9.6
