"Day","Site","Region","Farm","Plot","site_ID","treatment","Avg.Moisture","control_mean","Ratio"
0,"B1","Border",1,"D1","Border1","D",14.1833333333333,52.6,0.269645120405577
0,"B1","Border",1,"D2","Border1","D",18.1444444444444,52.6,0.344951415293621
0,"B1","Border",1,"D3","Border1","D",17.8555555555556,52.6,0.339459231094212
0,"B3","Border",3,"D1","Border3","D",54.9333333333333,37.5685185185185,1.46221718341795
0,"B3","Border",3,"D2","Border3","D",16.5277777777778,37.5685185185185,0.439936905407404
0,"B3","Border",3,"D3","Border3","D",24.2722222222222,37.5685185185185,0.646078769655444
0,"B5","Border",5,"D1","Border5","D",17.7333333333333,46.8851851851852,0.37822892803539
0,"B5","Border",5,"D2","Border5","D",11.7111111111111,46.8851851851852,0.249782763251442
0,"B5","Border",5,"D3","Border5","D",23.8888888888889,46.8851851851852,0.50951891934592
0,"C1","Cork",1,"D1","Cork1","D",42.3944444444444,42.5407407407407,0.996561030820129
0,"C1","Cork",1,"D2","Cork1","D",18.7055555555556,42.5407407407407,0.439709211213651
0,"C1","Cork",1,"D3","Cork1","D",18,42.5407407407407,0.423123802890475
0,"C2","Cork",2,"D1","Cork2","D",10.7,24.5138888888889,0.436487252124646
0,"C2","Cork",2,"D2","Cork2","D",19.6833333333333,24.5138888888889,0.802946175637394
0,"C2","Cork",2,"D3","Cork2","D",13.7222222222222,24.5138888888889,0.559773371104816
0,"C3","Cork",3,"D1","Cork3","D",NA,24.4333333333333,NA
0,"C3","Cork",3,"D2","Cork3","D",21.2388888888889,24.4333333333333,0.869258753979081
0,"C3","Cork",3,"D3","Cork3","D",27.4777777777778,24.4333333333333,1.12460209185994
0,"C4","Cork",4,"D1","Cork4","D",53.9222222222222,45.9,1.17477608327282
0,"C4","Cork",4,"D2","Cork4","D",9.48888888888889,45.9,0.206729605422416
0,"C4","Cork",4,"D3","Cork4","D",34.55,45.9,0.752723311546841
0,"C5","Cork",5,"D1","Cork5","D",25.8777777777778,44.3314814814815,0.583733656376624
0,"C5","Cork",5,"D2","Cork5","D",26.4888888888889,44.3314814814815,0.597518693345587
0,"C5","Cork",5,"D3","Cork5","D",21.5222222222222,44.3314814814815,0.485483938343289
0,"D1","Dublin",1,"D1","Dublin1","D",25.2555555555556,27.9444444444444,0.903777335984095
0,"D1","Dublin",1,"D2","Dublin1","D",12.9,27.9444444444444,0.461630218687873
0,"D1","Dublin",1,"D3","Dublin1","D",32.7444444444444,27.9444444444444,1.17176938369781
0,"D2","Dublin",2,"D1","Dublin2","D",19.4333333333333,28.3703703703704,0.684986945169713
0,"D2","Dublin",2,"D2","Dublin2","D",14.3277777777778,28.3703703703704,0.505026109660574
